,차트명,순위,타이틀,가수
0,Bugs,1,That That (prod. & feat. SUGA of BTS),싸이 (PSY)
1,Bugs,2,초록을거머쥔우리는,잔나비
2,Bugs,3,FEARLESS,LE SSERAFIM (르세라핌)
3,Bugs,4,LOVE DIVE,IVE (아이브)
4,Bugs,5,ZOOM,제시(Jessi)
5,Bugs,6,사랑인가 봐,멜로망스(MeloMance)
6,Bugs,7,봄여름가을겨울 (Still Life),BIGBANG (빅뱅)
7,Bugs,8,TOMBOY,(여자)아이들
8,Bugs,9,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현)
9,Bugs,10,That's Hilarious,Charlie Puth(찰리 푸스)
10,Bugs,11,봄 to 러브,10CM
11,Bugs,12,Seoul,볼빨간사춘기
12,Bugs,13,여름가을겨울  봄.,잔나비
13,Bugs,14,GANADARA (Feat. 아이유),박재범
14,Bugs,15,LOVE me,BE'O (비오)
15,Bugs,16,Feel My Rhythm,Red Velvet (레드벨벳)
16,Bugs,17,감동이야 (feat. 성시경),싸이 (PSY)
17,Bugs,18,이제는 (feat. 화사),싸이 (PSY)
18,Bugs,19,나의 X에게,경서
19,Bugs,20,슬픔이여안녕,잔나비
20,Bugs,21,초대,멜로망스(MeloMance)
21,Bugs,22,레이디버드,잔나비
22,Bugs,23,Drive,미연 ((여자)아이들)
23,Bugs,24,취중고백,김민석 (멜로망스)
24,Bugs,25,Celeb,싸이 (PSY)
25,Bugs,26,우리들의 블루스,임영웅
26,Bugs,27,STAY,The Kid LAROI
27,Bugs,28,INVU,The Kid LAROI
28,Bugs,29,드라마,태연 (TAEYEON)
29,Bugs,30,MY BAG,아이유(IU)
30,Bugs,31,듣고 싶을까,(여자)아이들
31,Bugs,32,끝이라고 말할 것 같았어 (Too Late),MSG워너비(M.O.M)
32,Bugs,33,사랑은 늘 도망가,황치열
33,Bugs,34,바라만 본다,임영웅
34,Bugs,35,썸 2 (Feat. 정용화),MSG워너비(M.O.M)
35,Bugs,36,strawberry moon,소유 (SOYOU)
36,Bugs,37,All 4 Nothing (I'm So In Love),아이유(IU)
37,Bugs,38,사건의 지평선,Lauv(라우브)
38,Bugs,39,ELEVEN,윤하(Younha/ユンナ)
39,Bugs,40,신호등,IVE (아이브)
40,Bugs,41,다시 만날 수 있을까,이무진
41,Bugs,42,너를 생각해,임영웅
42,Bugs,43,Real Love,주시크 (Joosiq)
43,Bugs,44,SMILEY (Feat. BIBI),오마이걸(OH MY GIRL)
44,Bugs,45,그게 더 편할 것 같아 (N번째 연애 X 멜로망스),YENA (최예나)
45,Bugs,46,기억해 줘요,멜로망스(MeloMance)
46,Bugs,47,마지막 너의 인사,다비치
47,Bugs,48,Love story,헤이즈(Heize)
48,Bugs,49,With you,볼빨간사춘기
49,Bugs,50,내 곁에,지민
50,Bugs,51,Weekend,지민
51,Bugs,52,다정히 내 이름을 부르면,태연 (TAEYEON)
52,Bugs,53,Next Level,태연 (TAEYEON)
53,Bugs,54,바보에게... 바보가,경서예지
54,Bugs,55,RUN2U,경서예지
55,Bugs,56,Stronger (What Doesn't Kill You),aespa
56,Bugs,57,밤이 깊었네 (feat. 헤이즈),박명수
57,Bugs,58,Light Switch,STAYC(스테이씨)
58,Bugs,59,Whisky on the Rock,Kelly Clarkson(켈리 클락슨)
59,Bugs,60,O.O,싸이 (PSY)
60,Bugs,61,Bad Habits,Charlie Puth(찰리 푸스)
61,Bugs,62,Dynamite,김연지
62,Bugs,63,존재만으로,NMIXX
63,Bugs,64,무지개,Ed Sheeran(에드 시런)
64,Bugs,65,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",방탄소년단
65,Bugs,66,Butter,원슈타인
66,Bugs,67,라일락,임영웅
67,Bugs,68,"스물다섯, 스물하나",sokodomo
68,Bugs,69,아무래도 난,방탄소년단
69,Bugs,70,Dreams Come True,아이유(IU)
70,Bugs,71,Step Back,자우림(Jaurim)
71,Bugs,72,Blueming,주시크 (Joosiq)
72,Bugs,73,As It Was,aespa
73,Bugs,74,Permission to Dance,GOT the beat
74,Bugs,75,Starlight,아이유(IU)
75,Bugs,76,Off My Face,Harry Styles(해리 스타일스)
76,Bugs,77,2step (feat. Lil Baby),방탄소년단
77,Bugs,78,Celebrity,태일 (TAEIL)
78,Bugs,79,꽃 길,Justin Bieber(저스틴 비버)
79,Bugs,80,너라는 이유 (BUT YOU),Ed Sheeran(에드 시런)
80,Bugs,81,보금자리,아이유(IU)
81,Bugs,82,너의 모든 순간,BIGBANG (빅뱅)
82,Bugs,83,언제나 사랑해,iKON
83,Bugs,84,MAISON,임영웅
84,Bugs,85,늦은 밤 너의 집 앞 골목길에서,성시경
85,Bugs,86,제목을 몰랐던 노래,케이시
86,Bugs,87,뱅뱅뱅 (BANG BANG BANG),드림캐쳐
87,Bugs,88,Can't Control Myself,노을
88,Bugs,89,봄이 좋냐??,DK
89,Bugs,90,Savage,DK
90,Bugs,91,abcdefu,BIGBANG (빅뱅)
91,Bugs,92,어제처럼,태연 (TAEYEON)
92,Bugs,93,서랍,10CM
93,Bugs,94,비밀정원,aespa
94,Bugs,95,"모든 날, 모든 순간 (Every day, Every Moment)",GAYLE
95,Bugs,96,DON'T TOUCH ME,폴킴(Paul Kim)
96,Bugs,97,바람기억,10CM
97,Bugs,98,애상,오마이걸(OH MY GIRL)
98,Bugs,99,문득,폴킴(Paul Kim)
99,Bugs,100,니가 왜 거기서 나와 (Narr. 고은아),환불원정대
